Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., Proposition 1",0542,1156,406,1562,2654,58.85%,458,762,1220
"Houston |.S.D., Proposition 1",0543,553,321,874,1658,52.71%,285,403,688
"Houston |.S.D., Proposition 1",0544,84,54,138,313,44.09%,45,66,111
"Houston |.S.D., Proposition 1",0554,597,271,868,1774,48.93%,269,384,653
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., Proposition 1",0555,639,390,1029,2286,45.01%,313,413,726
"Houston |.S.D., Proposition 1",0560,290,247,537,1141,47.06%,175,200,375
"Houston |.S.D., Proposition 1",0562,222,116,338,691,48.91%,87,136,223
"Houston |.S.D., Proposition 1",0564,1551,526,2077,3240,64.10%,653,983,1636
"Houston |.S.D., Proposition 1",0566,374,115,489,882,55.44%,160,193,353
"Houston |.S.D., Proposition 1",0567,965,390,1355,2851,47.53%,400,540,940
"Houston |.S.D., Proposition 1",0569,2027,747,2774,4125,67.25%,774,1243,2017
"Houston |.S.D., Proposition 1",0570,766,278,1044,1598,65.33%,311,483,794
