Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0197,998,372,1368,2969,46.08%,54,1253,9,22,1338
"Justice, Supreme Court, Place 5",0198,161,82,243,619,39.26%,8,218,3,5,234
"Justice, Supreme Court, Place 5",0199,1932,815,2747,4063,67.61%,1985,559,106,29,2679
"Justice, Supreme Court, Place 5",0200,2317,377,2694,3692,72.97%,1122,1332,101,35,2590
"Justice, Supreme Court, Place 5",0201,222,105,327,773,42.30%,10,304,2,4,320
"Justice, Supreme Court, Place 5",0202,421,233,654,1410,46.38%,23,596,5,6,630
"Justice, Supreme Court, Place 5",0203,298,111,409,988,41.40%,56,319,9,4,388
"Justice, Supreme Court, Place 5",0204,2104,577,2681,3568,75.14%,1315,1088,123,33,2559
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0205,772,171,943,1724,54.70%,24,885,3,12,924
"Justice, Supreme Court, Place 5",0206,1278,494,1772,2965,59.76%,444,1136,82,33,1695
"Justice, Supreme Court, Place 5",0207,606,212,818,1166,70.15%,217,530,26,13,786
"Justice, Supreme Court, Place 5",0208,910,338,1248,2256,55.32%,271,870,21,19,1181
"Justice, Supreme Court, Place 5",0209,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0210,1269,489,1758,2781,63.21%,238,1384,49,41,1712
"Justice, Supreme Court, Place 5",0211,965,595,1551,3130,49.87%,390,1032,32,31,1485
"Justice, Supreme Court, Place 5",0212,309,323,632,1370,46.13%,94,492,9,11,606
"Justice, Supreme Court, Place 5",0213,1782,795,2577,3406,75.66%,1934,527,42,13,2516
"Justice, Supreme Court, Place 5",0214,1017,418,1435,1911,75.09%,801,512,45,14,1372
"Justice, Supreme Court, Place 5",0215,1097,636,1733,2286,75.81%,912,677,45,22,1656
"Justice, Supreme Court, Place 5",0216,778,244,1022,1966,51.98%,59,902,9,14,984
"Justice, Supreme Court, Place 5",0217,1547,618,2165,2736,79.13%,1294,742,40,19,2095
"Justice, Supreme Court, Place 5",0218,1101,457,1558,2467,63.15%,323,1092,40,17,1472
"Justice, Supreme Court, Place 5",0219,1125,515,1641,2868,57.22%,138,1387,29,24,1578
"Justice, Supreme Court, Place 5",0220,833,306,1139,2362,48.22%,694,357,25,11,1087
"Justice, Supreme Court, Place 5",0221,1032,473,1505,2598,57.93%,462,940,21,20,1443
"Justice, Supreme Court, Place 5",0222,1461,671,2132,2728,78.15%,920,1062,39,13,2034
"Justice, Supreme Court, Place 5",0223,1766,517,2283,3664,62.31%,524,1526,90,47,2187
"Justice, Supreme Court, Place 5",0224,1165,495,1551,2313,71.81%,686,833,50,22,1591
"Justice, Supreme Court, Place 5",0225,1357,596,1953,3689,52.94%,778,1030,59,27,1894
"Justice, Supreme Court, Place 5",0226,840,421,1261,2554,49.37%,217,963,14,19,1213
"Justice, Supreme Court, Place 5",0227,1071,359,1430,1810,79.01%,994,356,23,5,1378
"Justice, Supreme Court, Place 5",0228,628,159,787,1175,66.98%,44,715,8,11,778
"Justice, Supreme Court, Place 5",0229,229,168,397,828,47.95%,109,256,9,5,379
"Justice, Supreme Court, Place 5",0230,354,155,519,1094,47.44%,17,476,4,5,502
"Justice, Supreme Court, Place 5",0231,802,445,1247,2376,52.48%,226,931,25,20,1202
"Justice, Supreme Court, Place 5",0232,942,438,1380,1826,75.58%,688,577,32,17,1314
"Justice, Supreme Court, Place 5",0233,2583,703,3286,4713,69.72%,1367,1571,155,51,3144
"Justice, Supreme Court, Place 5",0234,2425,728,3153,4042,78.01%,2228,750,55,15,3048
"Justice, Supreme Court, Place 5",0235,461,203,664,1421,46.73%,33,589,8,13,643
"Justice, Supreme Court, Place 5",0236,555,308,964,2104,45.82%,45,869,11,15,940
"Justice, Supreme Court, Place 5",0237,740,312,1052,2146,49.02%,31,980,6,13,1030
"Justice, Supreme Court, Place 5",0238,607,317,924,1948,47.43%,30,843,7,14,894
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0239,694,334,1028,1984,51.81,%,38,952,7,12,1009
"Justice, Supreme Court, Place 5",0240,1008,292,1300,2601,49.98%,32,1213,6,15,1266
"Justice, Supreme Court, Place 5",0241,652,383,1035,2466,41.97%,306,666,11,16,999
"Justice, Supreme Court, Place 5",0242,507,314,821,1744,47.08%,347,405,18,14,784
"Justice, Supreme Court, Place 5",0243,245,42,287,475,60.42%,6,272,2,2,282
"Justice, Supreme Court, Place 5",0244,1412,538,1950,3296,59.16%,859,940,66,26,1891
"Justice, Supreme Court, Place 5",0245,2103,811,2914,4679,62.28%,1723,961,96,32,2812
"Justice, Supreme Court, Place 5",0246,2214,482,2696,3971,67.89%,1613,928,62,24,2627
"Justice, Supreme Court, Place 5",0247,441,376,817,1595,51.22%,30,753,5,16,804
"Justice, Supreme Court, Place 5",0248,454,347,801,2147,37.31%,164,575,20,13,772
"Justice, Supreme Court, Place 5",0249,1127,365,1492,2825,52.81%,900,507,34,23,1464
"Justice, Supreme Court, Place 5",0250,288,183,471,925,50.92%,20,435,2,6,463
"Justice, Supreme Court, Place 5",0251,806,378,1184,2132,55.53%,66,1065,7,11,1149
"Justice, Supreme Court, Place 5",0252,927,309,1236,2292,53.93%,30,1152,8,11,1201
"Justice, Supreme Court, Place 5",0253,760,311,1071,2154,49.72%,35,994,17,8,1054
"Justice, Supreme Court, Place 5",0254,411,280,691,1675,41.25%,146,503,11,10,670
"Justice, Supreme Court, Place 5",0255,1257,586,1843,2489,74.05%,743,940,55,25,1763
"Justice, Supreme Court, Place 5",0256,1398,583,1981,3321,59.65%,618,1188,42,40,1888
"Justice, Supreme Court, Place 5",0257,999,622,1621,3497,46.35%,338,1174,21,37,1570
"Justice, Supreme Court, Place 5",0258,1948,608,2556,3346,76.39%,1738,642,64,19,2463
"Justice, Supreme Court, Place 5",0259,1031,414,1445,2312,62.50%,39,1346,15,13,1413
"Justice, Supreme Court, Place 5",0260,548,227,775,1300,59.62%,366,360,14,6,746
"Justice, Supreme Court, Place 5",0261,442,531,973,1457,66.78%,239,659,14,16,928
"Justice, Supreme Court, Place 5",0262,1849,676,2525,4397,57.43%,1266,1037,92,41,2436
"Justice, Supreme Court, Place 5",0263,2212,665,2877,4016,71.64%,1947,749,66,34,2796
"Justice, Supreme Court, Place 5",0264,1114,627,1741,3101,56.14%,815,776,54,27,1672
"Justice, Supreme Court, Place 5",0265,1995,608,2603,3582,72.67%,1742,676,63,23,2504
"Justice, Supreme Court, Place 5",0266,737,443,1180,2147,54.96%,418,673,26,21,1138
"Justice, Supreme Court, Place 5",0267,421,293,714,1433,49.83%,236,422,16,13,687
"Justice, Supreme Court, Place 5",0268,1178,689,1867,2528,73.85%,971,742,52,14,1779
"Justice, Supreme Court, Place 5",0269,1307,365,1672,2114,79.09%,1209,372,24,6,1611
"Justice, Supreme Court, Place 5",0270,1816,688,2504,3985,62.84%,1178,1100,66,61,2405
"Justice, Supreme Court, Place 5",0271,1150,346,1496,2558,58.48%,39,1405,9,12,1465
"Justice, Supreme Court, Place 5",0272,871,415,1286,2334,55.10%,405,750,53,27,1235
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
