Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0238,606,317,923,1948,47.38%,33,851,884
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0239,694,334,1028,1984,51.81%,42,961,1003
"Chief Justice, 1st Court of Appeals",0240,1007,292,1299,2601,49.94%,35,1235,1270
"Chief Justice, 1st Court of Appeals",0241,651,383,1034,2466,41.93%,326,666,992
"Chief Justice, 1st Court of Appeals",0242,506,314,820,1744,47.02%,359,409,768
"Chief Justice, 1st Court of Appeals",0243,245,42,287,475,60.42%,6,278,284
"Chief Justice, 1st Court of Appeals",0244,1410,538,1948,3296,59.10%,924,940,1864
"Chief Justice, 1st Court of Appeals",0245,2100,811,2911,4679,62.21%,1802,981,2783
"Chief Justice, 1st Court of Appeals",0246,2210,482,2692,3971,67.79%,1661,947,2608
"Chief Justice, 1st Court of Appeals",0247,440,376,816,1595,51.16%,26,776,802
"Chief Justice, 1st Court of Appeals",0248,453,347,800,2147,37.26%,168,588,756
"Chief Justice, 1st Court of Appeals",0249,1126,365,1491,2825,52.78%,922,529,1451
"Chief Justice, 1st Court of Appeals",0250,288,183,471,925,50.92%,20,440,460
"Chief Justice, 1st Court of Appeals",0251,806,378,1184,2132,55.53%,60,1078,1138
"Chief Justice, 1st Court of Appeals",0252,925,309,1235,2292,53.88%,31,1166,1197
"Chief Justice, 1st Court of Appeals",0253,750,311,1071,2154,49.72%,35,1011,1046
"Chief Justice, 1st Court of Appeals",0254,411,280,691,1675,41.25%,138,518,656
"Chief Justice, 1st Court of Appeals",0255,1256,586,1842,2489,74.01%,848,896,1744
"Chief Justice, 1st Court of Appeals",0256,1398,583,1981,3321,59.65%,676,1191,1867
"Chief Justice, 1st Court of Appeals",0257,999,622,1621,3497,46.35%,369,1179,1548
"Chief Justice, 1st Court of Appeals",0258,1948,608,2555,3346,76.39%,1855,596,2451
"Chief Justice, 1st Court of Appeals",0259,1030,414,1444,2312,62.46%,45,1359,1404
"Chief Justice, 1st Court of Appeals",0260,547,227,774,1300,59.54%,376,356,732
"Chief Justice, 1st Court of Appeals",0261,442,531,973,1457,66.78%,254,664,918
"Chief Justice, 1st Court of Appeals",0262,1847,676,2523,4397,57.38%,1351,1040,2391
"Chief Justice, 1st Court of Appeals",0263,2208,665,2873,4016,71.54%,2015,742,2757
"Chief Justice, 1st Court of Appeals",0264,1112,627,1739,3101,56.08%,868,780,1648
"Chief Justice, 1st Court of Appeals",0265,1992,608,2600,3582,72.59%,1866,610,2476
"Chief Justice, 1st Court of Appeals",0266,737,443,1180,2147,54.96%,425,699,1124
"Chief Justice, 1st Court of Appeals",0267,421,293,714,1433,49.83%,251,421,672
"Chief Justice, 1st Court of Appeals",0268,1175,689,1864,2528,73.73%,1092,658,1750
"Chief Justice, 1st Court of Appeals",0269,1306,365,1671,2114,79.04%,1270,333,1603
"Chief Justice, 1st Court of Appeals",0270,1816,688,2504,3985,62.84%,1253,1127,2380
"Chief Justice, 1st Court of Appeals",0271,1150,346,1496,2558,58.48%,46,1419,1465
"Chief Justice, 1st Court of Appeals",0272,871,415,1286,2334,55.10%,455,765,1220
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0273,1175,647,1822,2485,73.32%,1433,333,1766
"Chief Justice, 1st Court of Appeals",0274,1263,311,1574,2223,70.81%,1003,480,1483
"Chief Justice, 1st Court of Appeals",0275,585,334,919,2059,44.63%,152,728,880
"Chief Justice, 1st Court of Appeals",0276,1027,255,1282,2458,52.16%,29,1225,1254
"Chief Justice, 1st Court of Appeals",0277,573,338,911,1898,48.00%,308,570,878
"Chief Justice, 1st Court of Appeals",0278,1059,469,1528,2602,58.72%,636,811,1447
"Chief Justice, 1st Court of Appeals",0279,789,314,1103,2073,53.21%,604,456,1060
"Chief Justice, 1st Court of Appeals",0280,444,362,806,1656,48.67%,222,535,757
"Chief Justice, 1st Court of Appeals",0281,1287,590,1877,2507,74.87%,973,789,1762
"Chief Justice, 1st Court of Appeals",0282,774,604,1378,2144,64.27%,784,537,1321
"Chief Justice, 1st Court of Appeals",0283,2352,1143,3495,6365,54.91%,495,2873,3368
"Chief Justice, 1st Court of Appeals",0284,1585,574,2159,4079,52.93%,717,1344,2061
"Chief Justice, 1st Court of Appeals",0285,1078,431,1509,2680,56.31%,125,1332,1457
"Chief Justice, 1st Court of Appeals",0286,1712,545,2257,3757,60.07%,201,1978,2179
"Chief Justice, 1st Court of Appeals",0287,851,408,1259,1658,75.93%,619,578,1197
"Chief Justice, 1st Court of Appeals",0288,883,314,1197,2208,54.21%,31,1136,1167
"Chief Justice, 1st Court of Appeals",0289,481,352,833,1584,52.59%,296,478,774
"Chief Justice, 1st Court of Appeals",0290,705,332,1037,1623,63.89%,747,262,1009
"Chief Justice, 1st Court of Appeals",0291,604,233,837,1218,68.72%,368,428,796
"Chief Justice, 1st Court of Appeals",0292,549,178,727,1379,52.72%,85,615,700
