Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0307,1456,801,2257,3270,69.02%,1450,673,2123
"District Judge, 11th Judicial District",0308,526,225,751,1457,51.54%,189,514,703
"District Judge, 11th Judicial District",0309,2160,591,2751,3495,78.71%,2052,574,2626
"District Judge, 11th Judicial District",0310,709,326,1035,1464,70.70%,614,353,967
"District Judge, 11th Judicial District",0311,930,643,1573,3222,48.82%,695,760,1455
"District Judge, 11th Judicial District",0312,1705,552,2257,3724,60.61%,1139,997,2136
"District Judge, 11th Judicial District",0313,23,8,31,61,50.82%,16,8,24
"District Judge, 11th Judicial District",0314,2997,817,3814,5606,68.03%,2125,1550,3675
"District Judge, 11th Judicial District",0315,801,353,1154,1636,70.54%,621,458,1079
"District Judge, 11th Judicial District",0316,739,340,1079,1513,71.32%,554,448,1002
"District Judge, 11th Judicial District",0317,593,252,845,1661,50.87%,205,590,795
"District Judge, 11th Judicial District",0318,1726,529,2255,3776,59.72%,143,2038,2181
