Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0306,1096,299,1395,1896,73.58%,895,418,1313
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0307,1456,801,2257,3270,69.02%,1425,696,2121
"District Judge, 80th Judicial District",0308,526,225,751,1457,51.54%,186,520,706
"District Judge, 80th Judicial District",0309,2160,591,2751,3495,78.71%,1979,663,2642
"District Judge, 80th Judicial District",0310,709,326,1035,1464,70.70%,608,361,969
"District Judge, 80th Judicial District",0311,930,643,1573,3222,48.82%,693,768,1461
"District Judge, 80th Judicial District",0312,1705,552,2257,3724,60.61%,1097,1041,2138
"District Judge, 80th Judicial District",0313,23,8,31,61,50.82%,15,9,24
"District Judge, 80th Judicial District",0314,2997,817,3814,5606,68.03%,2119,1551,3670
"District Judge, 80th Judicial District",0315,801,353,1154,1636,70.54%,593,492,1085
"District Judge, 80th Judicial District",0316,739,340,1079,1513,71.32%,514,490,1004
"District Judge, 80th Judicial District",0317,593,252,845,1661,50.87%,205,594,799
"District Judge, 80th Judicial District",0318,1726,529,2255,3776,59.72%,129,2053,2182
"District Judge, 80th Judicial District",0319,994,271,1265,2199,57.53%,71,1155,1226
"District Judge, 80th Judicial District",0320,554,238,792,1570,50.45%,273,474,747
