Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Rodney Ellis,Totals
"County Commissioner, Precinct 1",0775,50,1,51,102,50.00%,49,49
"County Commissioner, Precinct 1",0780,170,130,300,666,45.05%,207,207
"County Commissioner, Precinct 1",0782,1048,368,1416,2355,60.13%,706,706
"County Commissioner, Precinct 1",0783,197,90,287,520,55.19%,266,266
"County Commissioner, Precinct 1",0784,408,119,527,1062,49.62%,504,504
"County Commissioner, Precinct 1",0794,626,411,1037,3208,32.33%,938,938
"County Commissioner, Precinct 1",0798,222,142,364,521,69.87%,244,244
"County Commissioner, Precinct 1",0799,58,26,84,171,49.12%,72,72
"County Commissioner, Precinct 1",0801,90,44,134,261,51.34%,99,99
"County Commissioner, Precinct 1",0802,54,21,75,224,33.48%,56,56
"County Commissioner, Precinct 1",0808,142,57,199,232,85.78%,142,142
"County Commissioner, Precinct 1",0812,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 1",0815,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 1",0816,23,10,33,64,51.56%,27,27
"County Commissioner, Precinct 1",0820,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 1",0822,571,185,756,1574,48.03%,710,710
"County Commissioner, Precinct 1",0830,2,2,4,2,200.00%,1,1
"County Commissioner, Precinct 1",0832,124,50,174,364,47.80%,130,130
"County Commissioner, Precinct 1",0834,142,61,203,388,52.32%,184,184
"County Commissioner, Precinct 1",0837,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 1",0838,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 1",0840,829,228,1057,1780,59.38%,740,740
"County Commissioner, Precinct 1",0842,1338,513,1851,3390,54.60%,1231,1231
"County Commissioner, Precinct 1",0843,595,298,893,1387,64.38%,723,723
"County Commissioner, Precinct 1",0844,4,0,4,10,40.00%,4,4
"County Commissioner, Precinct 1",0845,151,13,164,218,75.23%,67,67
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Rodney Ellis,Totals
"County Commissioner, Precinct 1",0846,61,22,83,229,36.24%,80,80
"County Commissioner, Precinct 1",0848,1011,201,1212,1875,64.64%,868,868
"County Commissioner, Precinct 1",0849,731,455,1186,2272,52.20%,874,874
"County Commissioner, Precinct 1",0852,0,0,0,1,0.00%,0,0
"County Commissioner, Precinct 1",0854,40,19,59,175,33.71%,53,53
"County Commissioner, Precinct 1",0855,7,2,9,21,42.86%,4,4
"County Commissioner, Precinct 1",0857,0,0,0,1,0.00%,0,0
"County Commissioner, Precinct 1",0858,121,35,156,334,46.71%,145,145
"County Commissioner, Precinct 1",0859,391,143,534,945,56.51%,441,441
"County Commissioner, Precinct 1",0861,777,272,1049,1941,54.04%,890,890
"County Commissioner, Precinct 1",0863,192,64,256,581,44.06%,244,244
"County Commissioner, Precinct 1",0865,9,2,11,21,52.38%,11,11
"County Commissioner, Precinct 1",0871,2,1,3,3,1,00.00%,3,3
"County Commissioner, Precinct 1",0883,2252,928,3180,5613,56.65%,2692,2692
"County Commissioner, Precinct 1",0886,495,152,647,906,71.41%,382,382
"County Commissioner, Precinct 1",0887,234,95,329,492,66.87%,197,197
"County Commissioner, Precinct 1",0890,445,98,543,1214,44.73%,339,339
"County Commissioner, Precinct 1",0891,753,194,947,1376,68.82%,665,665
"County Commissioner, Precinct 1",0892,420,123,543,900,60.33%,380,380
"County Commissioner, Precinct 1",0893,1,4,5,9,55.56%,3,3
"County Commissioner, Precinct 1",0894,801,305,1106,2087,52.99%,962,962
"County Commissioner, Precinct 1",0895,417,252,669,834,80.22%,443,443
"County Commissioner, Precinct 1",0896,838,254,1092,1467,74.44%,771,771
"County Commissioner, Precinct 1",0900,7,0,7,1,2,58.33%,6,6
"County Commissioner, Precinct 1",0917,33,9,42,147,28.57%,37,37
"County Commissioner, Precinct 1",091,8,3,1,4,7,57.14%,3,3
"County Commissioner, Precinct 1",0922,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 1",0924,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 1",0928,4,1,5,7,71.43%,5,5
"County Commissioner, Precinct 1",0929,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 1",0930,217,83,300,606,49.50%,281,281
"County Commissioner, Precinct 1",0931,87,28,115,141,81.56%,80,80
"County Commissioner, Precinct 1",0932,0,1,1,0,0.00%,1,1
"County Commissioner, Precinct 1",0933,297,93,390,668,58.38%,295,295
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Rodney Ellis,Totals
"County Commissioner, Precinct 1",0940,9,3,12,28,42.86%,11,11
"County Commissioner, Precinct 1",0945,8,6,14,21,66.67%,12,12
"County Commissioner, Precinct 1",0946,4,2,6,14,42.86%,5,5
"County Commissioner, Precinct 1",0947,428,198,626,820,76.34%,353,353
"County Commissioner, Precinct 1",0948,0,0,0,1,0.00%,0,0
"County Commissioner, Precinct 1",0949,84,61,145,210,69.05%,88,88
"County Commissioner, Precinct 1",0953,4,0,4,8,50.00%,4,4
"County Commissioner, Precinct 1",0956,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 1",0963,225,91,316,528,59.85%,200,200
"County Commissioner, Precinct 1",0964,2145,325,2470,3179,77.70%,1290,1290
"County Commissioner, Precinct 1",0965,101,35,136,345,39.42%,61,61
"County Commissioner, Precinct 1",0969,299,71,370,624,59.29%,360,360
"County Commissioner, Precinct 1",0970,223,102,325,810,40.12%,283,283
"County Commissioner, Precinct 1",0975,104,26,130,190,68.42%,82,82
"County Commissioner, Precinct 1",0976,190,152,342,712,48.03%,189,189
"County Commissioner, Precinct 1",0978,0,0,0,0,0.00%,0,0
"County Commissioner, Precinct 1",0987,476,130,606,1183,51.23%,554,554
"County Commissioner, Precinct 1",0994,56,12,68,75,90.67%,52,52
"County Commissioner, Precinct 1",0995,753,193,946,1576,60.03%,864,864
"County Commissioner, Precinct 1",0996,403,70,473,708,66.81%,274,274
"County Commissioner, Precinct 1",1000,122,22,144,428,33.64%,124,124
"County Commissioner, Precinct 1",1010,292,96,388,647,59.97%,320,320
"County Commissioner, Precinct 1",Totals:,236790,88960,325750,563714,258803,258803
