Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0331,884,234,1118,1612,69.35%,682,393,1075
Sheriff,0332,1355,503,1858,2926,63.50%,179,1615,1794
Sheriff,0333,1385,942,2327,3296,70.60%,1601,625,2226
Sheriff,0334,246,104,350,786,44.53%,60,278,338
Sheriff,0335,489,293,782,1679,46.58%,186,546,732
Sheriff,0336,2489,689,3178,4771,66.61%,320,2788,3108
Sheriff,0337,367,155,522,1108,47.11%,70,426,496
Sheriff,0338,1626,632,2258,5001,45.15%,567,1594,2161
Sheriff,0339,704,303,1007,1909,52.75%,162,805,967
Sheriff,0340,2040,654,2694,4012,67.15%,1896,713,2609
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0341,380,278,658,1372,47.96%,131,501,632
Sheriff,0342,311,225,536,1092,49.08%,116,398,514
Sheriff,0343,722,370,1092,2099,52.02%,186,861,1047
Sheriff,0344,381,207,588,1225,48.00%,21,540,561
Sheriff,0345,575,349,924,1945,47.51%,165,704,869
Sheriff,0346,1,0,1,1,100.00%,0,0,0
Sheriff,0347,1461,618,2079,3614,57.53%,1174,842,2016
Sheriff,0348,830,242,1072,1796,59.69%,713,328,1041
Sheriff,0349,458,369,827,1372,60.28%,490,318,808
Sheriff,0350,1674,582,2256,3269,69.01%,765,1343,2108
Sheriff,0351,2855,570,3425,4799,71.37%,2560,773,3333
Sheriff,0352,2023,538,2561,4278,59.86%,1747,727,2474
Sheriff,0353,1715,659,2374,4156,57.12%,411,1905,2316
Sheriff,0354,1569,429,1998,3520,56.76%,484,1449,1933
Sheriff,0355,821,239,1060,1714,61.84%,110,922,1032
Sheriff,0356,1542,582,2124,3126,67.95%,1128,906,2034
Sheriff,0357,1882,557,2439,3685,66.19%,1744,610,2354
Sheriff,0358,775,376,1151,2634,43.70%,139,978,1117
Sheriff,0359,803,496,1299,3320,39.13%,127,1139,1266
Sheriff,0360,1858,597,2455,3309,74.19%,1076,1239,2315
Sheriff,0361,323,688,1011,1808,55.92%,133,793,926
Sheriff,0362,2865,553,3418,5161,66.23%,2326,986,3312
Sheriff,0363,1826,635,2461,4160,59.16%,1008,1405,2413
Sheriff,0364,1190,528,1718,2827,60.77%,777,871,1648
Sheriff,0365,827,174,1001,1348,74.26%,119,863,982
Sheriff,0366,988,524,1512,2887,52.37%,310,1143,1453
Sheriff,0367,453,204,657,1256,52.31%,144,488,632
Sheriff,0368,433,122,555,1024,54.20%,146,393,539
Sheriff,0369,132,29,161,678,23.75%,52,99,151
Sheriff,0370,2525,627,3152,4531,69.57%,2240,832,3072
Sheriff,0371,210,78,288,537,53.63%,15,268,283
Sheriff,0372,509,180,689,1274,54.08%,78,584,662
Sheriff,0373,61,13,74,163,45.40%,0,72,72
Sheriff,0374,176,165,341,720,47.36%,73,261,334
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0375,745,510,1255,2836,44.25%,437,763,1200
Sheriff,0376,753,344,1097,2060,53.25%,413,636,1049
Sheriff,0377,1381,643,2024,3137,64.52%,1514,442,1956
Sheriff,0378,621,447,1068,1856,57.54%,641,394,1035
Sheriff,0379,857,388,1245,2149,57.93%,103,1110,1213
Sheriff,0380,2732,551,3283,4380,74.95%,1693,1495,3188
Sheriff,0381,1185,432,1517,3141,51.48%,622,943,1565
Sheriff,0382,429,206,635,1035,61.35%,393,220,613
Sheriff,0383,722,458,1180,2373,49.73%,349,780,1129
Sheriff,0384,1152,444,1596,2725,58.57%,349,1194,1543
Sheriff,0385,1141,561,1702,2207,77.12%,1247,391,1638
Sheriff,0386,1658,419,2077,3105,66.89%,1466,559,2025
Sheriff,0387,1702,780,2482,4340,57.19%,1657,755,2412
Sheriff,0388,2899,711,3510,5413,66.69%,1683,1817,3500
Sheriff,0389,397,293,690,1359,50.77%,88,566,654
Sheriff,0390,698,271,969,1482,65.38%,123,812,935
Sheriff,0391,986,336,1322,1978,66.84%,765,509,1274
Sheriff,0392,652,145,797,1426,55.89%,19,757,776
Sheriff,0393,427,257,684,1274,53.69%,313,345,658
Sheriff,0394,236,126,362,914,39.61%,118,225,343
Sheriff,0395,1007,371,1378,1875,73.49%,894,433,1327
Sheriff,0396,1035,204,1239,2072,59.80%,50,1153,1203
Sheriff,0397,204,117,321,796,40.33%,117,188,305
Sheriff,0398,1761,654,2415,4200,57.50%,1077,1255,2332
Sheriff,0399,1291,546,1837,3340,55.00%,707,1083,1790
Sheriff,0400,1457,372,1839,2661,69.11%,1172,617,1789
Sheriff,0401,703,257,960,1971,48.71%,51,871,922
Sheriff,0402,897,262,1159,1911,60.65%,78,1049,1127
Sheriff,0403,959,387,1346,1719,78.30%,660,618,1278
Sheriff,0404,1033,445,1478,2717,54.40%,675,757,1432
Sheriff,0405,1910,457,2367,3067,77.18%,1761,571,2332
Sheriff,0406,275,65,340,649,52.39%,11,319,330
