Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0283,2354,1143,3497,6365,54.94%,413,2901,68,40,3,0,0,0
President and Vice President,0284,1600,574,2174,4079,53.30%,617,1409,56,25,0,0,0,0
President and Vice President,0285,1080,431,1511,2680,56.38%,107,1356,12,13,1,0,0,0
President and Vice President,0286,1715,545,2260,3757,60.15%,161,2007,29,28,0,0,0,0
President and Vice President,0287,854,408,1262,1658,76.12%,488,666,44,15,2,2,0,0
President and Vice President,0288,883,314,1197,2208,54.21%,20,1138,7,10,0,0,0,0
President and Vice President,0289,483,352,835,1584,52.71%,278,506,26,6,0,0,0,0
President and Vice President,0290,705,332,1037,1623,63.89%,728,251,36,6,0,0,0,0
President and Vice President,0291,608,233,841,1218,69.05%,296,486,22,5,0,0,0,0
President and Vice President,0292,550,178,728,1379,52.79%,73,624,10,5,0,0,0,0
President and Vice President,0293,780,475,1255,1811,69.30%,447,715,53,17,0,0,0,0
President and Vice President,0294,852,198,1050,2054,51.12%,17,992,7,10,0,0,0,0
President and Vice President,0295,270,111,381,894,42.62%,10,354,2,6,0,0,0,0
President and Vice President,0296,704,385,1089,1705,63.87%,494,523,26,13,0,0,0,0
President and Vice President,0297,736,341,1077,2055,52.41%,323,685,25,19,0,0,0,0
President and Vice President,0298,1102,387,1489,2236,66.59%,620,762,52,20,0,0,0,0
President and Vice President,0299,499,236,735,1506,48.80%,195,489,20,11,0,0,0,0
President and Vice President,0300,3388,728,4116,5480,75.11%,2744,1099,138,23,0,0,0,0
President and Vice President,0301,739,392,1131,2337,48.40%,360,684,41,10,0,0,0,0
President and Vice President,0302,1201,591,1792,3277,54.68%,852,831,50,13,0,0,0,0
President and Vice President,0303,1923,692,2615,3375,77.48%,1719,740,58,12,0,0,0,0
President and Vice President,0304,1199,474,1673,2326,71.93%,714,830,58,18,1,0,0,1
President and Vice President,0305,2159,645,2804,4838,57.96%,786,1850,71,33,0,0,0,0
President and Vice President,0306,1106,299,1405,1896,74.10%,824,476,51,7,2,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0307,1463,801,2264,3270,69.24%,1328,773,81,20,0,0,0,0
President and Vice President,0308,527,225,752,1457,51.61%,159,554,22,5,0,0,0,0
President and Vice President,0309,2174,591,2765,3495,79.11%,1702,819,138,9,2,2,0,0
President and Vice President,0310,712,326,1038,1464,70.90%,547,405,39,10,2,0,0,0
President and Vice President,0311,942,643,1585,3222,49.19%,654,837,33,15,0,0,0,0
President and Vice President,0312,1719,552,2271,3724,60.98%,1012,1082,98,23,1,0,0,0
President and Vice President,0313,23,8,31,61,50.82%,18,10,1,1,0,0,0,0
President and Vice President,0314,3005,817,3822,5606,68.18%,1962,1640,115,34,1,0,0,0
President and Vice President,0315,812,353,1155,1636,71.21%,547,532,44,9,0,0,0,0
President and Vice President,0316,747,340,1087,1513,71.84%,446,564,45,7,0,0,0,0
President and Vice President,0317,596,252,848,1661,51.05%,197,590,20,19,0,1,0,0
President and Vice President,0318,1730,529,2259,3776,59.83%,124,2055,18,18,2,0,0,0
President and Vice President,0319,996,271,1267,2199,57.62%,57,1166,15,9,0,0,0,0
President and Vice President,0320,557,238,795,1570,50.64%,273,492,12,4,0,0,0,0
President and Vice President,0321,857,363,1230,2483,49.54%,326,829,23,21,0,0,0,0
President and Vice President,0322,426,124,550,1210,45.45%,142,389,12,2,0,0,0,0
President and Vice President,0323,702,296,998,1793,55.66%,31,7,596,32,19,1,0,0,0
President and Vice President,0324,1454,560,2014,2607,77.25%,1025,803,115,14,0,0,0,0
President and Vice President,0325,804,257,1061,2176,48.76%,177,834,15,13,0,0,0,0
President and Vice President,0326,271,129,400,736,54.35%,131,254,3,3,0,0,0,0
President and Vice President,0327,740,141,881,1758,50.11%,25,820,6,4,0,0,0,0
President and Vice President,0328,425,286,711,1631,43.59%,188,483,16,7,0,0,0,0
President and Vice President,0329,592,260,852,1621,52.56%,226,583,20,10,0,0,0,0
President and Vice President,0330,865,326,1191,2146,55.50%,455,651,38,14,0,2,0,0
President and Vice President,0331,889,234,1123,1612,69.67%,641,402,47,8,0,0,0,0
President and Vice President,0332,1360,503,1863,2926,63.67%,152,1643,21,14,1,0,0,0
President and Vice President,0333,1392,942,2334,3296,70.81%,1546,642,87,27,0,0,0,0
President and Vice President,0334,247,104,351,786,44.66%,55,277,11,1,0,1,0,0
President and Vice President,0335,494,293,787,1679,46.87%,164,571,16,14,0,0,0,0
President and Vice President,0336,2496,689,3185,4771,66.76%,248,2804,51,34,1,0,0,0
President and Vice President,0337,371,155,526,1108,47.47%,72,434,2,3,0,0,0,0
President and Vice President,0338,1628,632,2260,5001,45.19%,531,1622,32,23,0,0,0,0
President and Vice President,0339,705,303,1008,1909,52.80%,159,795,19,5,0,0,0,0
President and Vice President,0340,2049,654,2703,4012,67.37%,1753,772,93,22,1,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0341,380,278,658,1372,47.96%,126,501,14,4,0,0,0,0
President and Vice President,0342,312,225,537,1092,49.18%,105,403,5,9,0,0,0,0
President and Vice President,0343,725,370,1095,2099,52.17%,187,829,25,17,0,0,0,0
President and Vice President,0344,381,207,588,1225,48.00%,25,543,7,5,0,0,0,0
President and Vice President,0345,582,349,931,1945,47.87%,146,717,34,8,0,0,0,0
President and Vice President,0346,1,0,1,1,100.00%,1,0,0,0,0,0,0,0
President and Vice President,0347,1463,618,2081,3614,57.58%,1092,865,67,19,0,0,0,0
President and Vice President,0348,833,242,1075,1796,59.86%,682,333,36,5,1,0,0,0
President and Vice President,0349,459,369,828,1372,60.35%,451,317,27,10,0,0,0,0
President and Vice President,0350,1709,582,2291,3269,70.08%,594,1509,108,29,1,0,0,0
President and Vice President,0351,2865,570,3435,4799,71.58%,2381,857,110,13,2,0,0,1
President and Vice President,0352,2025,538,2563,4278,59.91%,1701,720,73,16,2,0,0,0
President and Vice President,0353,1715,659,2374,4156,57.12%,352,1921,42,16,0,0,0,0
President and Vice President,0354,1575,429,2004,3520,56.93%,424,1486,29,26,0,0,0,0
President and Vice President,0355,823,239,1062,1714,61.96%,99,922,10,9,0,1,0,0
President and Vice President,0356,1551,582,2133,3126,68.23%,963,976,104,17,1,0,0,0
President and Vice President,0357,1889,557,2446,3685,66.38%,1580,672,93,24,3,0,0,0
President and Vice President,0358,775,376,1151,2634,43.70%,105,1004,9,10,0,0,0,0
President and Vice President,0359,806,496,1302,3320,39.22%,119,1127,15,13,0,0,0,0
President and Vice President,0360,1872,597,2469,3309,74.61%,863,1418,101,20,0,0,0,0
President and Vice President,0361,339,688,1027,1808,56.80%,67,882,43,10,0,0,0,0
President and Vice President,0362,2872,553,3425,5161,66.36%,2098,1088,102,23,2,0,0,2
President and Vice President,0363,1826,635,2461,4160,59.16%,907,1435,58,14,0,0,0,0
President and Vice President,0364,1192,528,1720,2827,60.84%,713,891,59,19,0,0,0,0
President and Vice President,0365,829,174,1003,1348,74.41%,96,865,16,8,0,0,0,0
President and Vice President,0366,989,524,1513,2887,52.41%,273,1146,30,21,1,0,0,0
President and Vice President,0367,457,204,661,1256,52.63%,133,494,17,5,0,0,0,0
President and Vice President,0368,433,122,555,1024,54.20%,136,402,6,1,0,0,0,0
President and Vice President,0369,137,29,166,678,24.48%,51,96,10,5,0,0,0,0
President and Vice President,0370,2526,627,3153,4531,69.59%,2071,877,110,22,2,0,0,0
President and Vice President,0372,511,180,691,1274,54.24%,67,597,6,5,0,0,0,0
President and Vice President,0373,61,13,74,163,45.40%,1,67,0,2,0,0,0,0
President and Vice President,0374,175,165,341,720,47.36%,78,249,5,2,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0375,748,510,1258,2836,44.36%,431,774,21,11,0,0,0,0
President and Vice President,0376,755,344,1099,2060,53.35%,402,643,23,8,0,0,0,0
President and Vice President,0377,1384,643,2027,3137,64.62%,1416,465,81,18,0,0,0,0
President and Vice President,0378,623,447,1070,1856,57.65%,599,375,43,17,1,0,0,1
President and Vice President,0379,858,388,1246,2149,57.98%,103,1092,12,17,0,0,0,0
President and Vice President,0380,2745,551,3296,4380,75.25%,1503,1588,119,16,1,0,0,0
President and Vice President,0381,1187,432,1619,3141,51.54%,584,957,28,14,0,0,0,0
President and Vice President,0382,429,206,635,1035,61.35%,381,220,22,5,0,0,0,0
President and Vice President,0383,723,458,1181,2373,49.77%,338,772,23,12,0,0,0,0
President and Vice President,0384,1156,444,1600,2725,58.72%,300,1229,20,7,0,0,0,0
President and Vice President,0385,1151,561,1712,2207,77.57%,1080,515,42,12,0,0,0,0
President and Vice President,0386,1660,419,2079,3105,66.96%,1441,567,31,8,0,0,0,0
President and Vice President,0387,1707,780,2487,4340,57.30%,1628,736,57,13,0,0,0,0
President and Vice President,0388,2904,711,3615,5413,66.78%,1548,1852,103,21,3,0,0,3
President and Vice President,0389,408,293,701,1359,51.58%,55,575,38,20,0,0,0,0
President and Vice President,0390,712,271,983,1482,66.33%,88,830,25,17,0,0,0,0
President and Vice President,0391,994,336,1330,1978,67.24%,684,556,39,16,0,0,0,0
President and Vice President,0392,653,145,798,1426,55.96%,20,750,6,5,0,0,0,0
President and Vice President,0393,429,257,686,1274,53.85%,283,339,44,10,1,0,0,0
President and Vice President,0394,236,126,362,914,39.61%,118,219,10,3,0,0,0,0
President and Vice President,0395,1009,371,1380,1875,73.60%,773,488,68,11,2,0,0,0
President and Vice President,0396,1036,204,1240,2072,59.85%,33,1178,8,8,0,0,0,0
President and Vice President,0397,204,117,321,796,40.33%,106,195,9,3,0,0,0,0
President and Vice President,0398,1765,654,2419,4200,57.60%,968,1294,75,32,2,0,0,0
President and Vice President,0399,1295,546,1841,3340,55.12%,627,1114,40,18,0,0,0,0
President and Vice President,0400,1476,372,1848,2661,69.45%,1017,699,67,19,1,0,0,0
President and Vice President,0401,703,257,960,1971,48.71%,51,864,12,4,0,0,0,0
President and Vice President,0402,898,262,1160,1911,60.70%,76,1053,7,5,0,0,0,0
President and Vice President,0403,966,387,1353,1719,78.71%,537,719,45,14,0,0,0,0
President and Vice President,0404,1035,445,1480,2717,54.47%,642,741,46,12,0,0,0,0
President and Vice President,0405,1914,457,2371,3067,77.31%,1635,625,70,6,0,0,0,0
President and Vice President,0406,275,65,340,649,52.39%,5,320,4,4,0,0,0,0
President and Vice President,0407,1705,860,2565,3969,64.63%,1271,1060,112,31,2,9,0,0
President and Vice President,0408,522,313,835,1740,47.99%,242,548,22,2,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0409,501,280,781,1608,48.57%,204,530,20,5,0,0,0,0
President and Vice President,0410,382,96,478,934,51.18%,88,373,9,2,0,0,0,0
President and Vice President,0411,699,418,1117,2426,46.04%,257,783,24,7,0,0,0,0
President and Vice President,0412,156,80,236,478,49.37%,12,215,3,2,0,0,0,0
President and Vice President,0413,1552,456,2008,3081,65.17%,700,1222,40,13,0,0,0,0
President and Vice President,0414,1581,514,2095,3586,58.42%,1447,558,40,10,1,0,0,0
President and Vice President,0415,1081,573,1654,2284,72.42%,1001,530,67,16,2,0,0,0
President and Vice President,0416,1447,845,2292,4009,57.17%,990,1111,100,26,0,0,0,0
President and Vice President,0417,1108,397,1505,2589,58.13%,578,829,45,24,1,0,0,0
President and Vice President,0418,1338,663,2001,3940,50.79%,596,1264,57,29,0,0,0,0
President and Vice President,0419,1172,477,1649,2702,61.03%,888,671,45,10,1,0,0,1
President and Vice President,0420,2692,731,3423,4946,69.21%,2683,597,84,14,0,0,0,0
President and Vice President,0421,1242,273,1515,2023,74.89%,636,777,51,20,1,0,0,0
President and Vice President,0422,1368,401,1759,3348,52.84%,57,1663,8,13,0,0,0,0
President and Vice President,0423,315,288,604,1423,42.45%,121,450,12,3,0,0,0,0
President and Vice President,0424,549,158,707,1079,65.52%,323,337,17,6,0,0,0,0
President and Vice President,0425,259,139,398,878,45.33%,102,277,7,7,0,0,0,0
President and Vice President,0426,490,228,718,1266,56.71%,327,351,15,7,0,0,0,0
President and Vice President,0427,440,155,595,1120,53.13%,171,397,8,7,0,0,0,0
President and Vice President,0428,1691,865,2556,5151,49.62%,568,1875,36,17,0,0,0,0
President and Vice President,0429,949,649,1598,3311,48.26%,307,1188,34,16,0,0,0,0
President and Vice President,0430,529,291,820,1794,45.71%,118,653,11,13,0,0,0,0
President and Vice President,0431,1223,604,1827,3860,47.33%,330,1388,35,21,0,0,0,0
President and Vice President,0432,459,249,708,1568,45.15%,171,491,27,7,0,0,0,0
President and Vice President,0433,163,88,251,561,44.74%,49,188,6,3,0,0,0,0
President and Vice President,0434,836,293,1129,1557,72.51%,523,527,36,12,0,0,0,0
President and Vice President,0435,1971,567,2538,3363,75.47%,1314,1035,74,25,1,0,0,0
President and Vice President,0436,2022,678,2700,3809,70.88%,1249,1263,86,30,0,0,0,0
President and Vice President,0437,1161,425,1586,2094,75.74%,867,598,63,8,1,0,0,0
President and Vice President,0438,2306,475,2781,3789,73.40%,1564,979,127,16,0,0,0,0
President and Vice President,0439,1861,749,2610,3701,70.52%,1443,964,102,21,0,2,0,0
President and Vice President,0440,1506,749,2255,2973,75.85%,1429,675,73,6,0,2,0,0
President and Vice President,0441,830,408,1238,1695,73.04%,716,423,35,4,0,0,0,0
President and Vice President,0442,2447,685,3132,4315,72.58%,2333,588,102,16,1,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0443,416,83,499,642,77.73%,300,157,20,5,0,0,0,0
President and Vice President,0444,1627,679,2306,3625,63.61%,1073,1041,99,20,1,0,0,0
President and Vice President,0445,1038,382,1420,2134,66.54%,732,586,47,9,1,0,0,0
President and Vice President,0446,89,45,134,309,43.37%,43,81,2,1,0,0,0,0
President and Vice President,0447,2416,464,2880,3727,77.27%,1649,1024,112,10,3,0,0,0
President and Vice President,0448,1770,529,2299,3155,72.87%,1011,1078,133,15,2,0,0,0
President and Vice President,0449,73,26,99,225,44.00%,9,89,0,0,0,0,0,0
President and Vice President,0450,1106,394,1500,2890,51.90%,313,1079,49,18,1,0,0,0
President and Vice President,0451,1724,367,2091,2771,75.46%,1536,433,43,8,1,0,0,0
President and Vice President,0452,1876,662,2538,3789,66.98%,1544,805,99,29,4,0,0,0
President and Vice President,0453,666,417,1083,2039,53.11%,256,771,19,11,0,0,0,0
President and Vice President,0454,1043,288,1331,2509,53.05%,28,1273,7,4,0,0,0,0
President and Vice President,0455,669,173,842,1713,49.15%,31,781,10,5,0,0,0,0
President and Vice President,0456,1407,553,1960,3793,51.67%,1006,869,43,13,3,0,0,2
President and Vice President,0457,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0458,918,253,1171,2025,57.83%,69,1049,17,15,0,0,0,0
President and Vice President,0459,2372,432,2804,3942,71.13%,1884,704,106,9,1,0,0,0
President and Vice President,0460,1617,472,2089,3280,63.69%,438,1541,50,22,0,0,0,1
President and Vice President,0461,2261,669,2930,4054,72.27%,1502,1250,72,15,1,0,0,0
President and Vice President,0462,1483,738,2221,3507,63.33%,645,1466,40,22,4,0,0,0
President and Vice President,0463,1680,564,2244,3773,59.48%,750,1371,60,23,0,0,0,0
President and Vice President,0464,972,582,1554,2343,66.33%,872,548,62,15,2,0,0,1
President and Vice President,0465,1633,594,2227,3778,58.95%,904,1182,59,22,1,0,0,1
President and Vice President,0466,2282,509,2791,4327,64.50%,1271,1354,56,26,3,0,0,0
President and Vice President,0467,502,225,727,1320,55.08%,139,564,9,5,0,0,0,0
President and Vice President,0468,1385,747,2132,4040,52.77%,449,1565,55,17,0,0,0,0
President and Vice President,0469,1881,462,2343,3257,71.94%,1638,543,87,10,2,0,0,0
President and Vice President,0470,556,232,788,1358,58.03%,544,189,32,8,0,0,0,0
President and Vice President,0471,1057,458,1515,2473,61.26%,1099,335,43,14,3,0,0,0
President and Vice President,0472,472,339,811,1131,71.71%,240,514,31,4,0,0,0,0
President and Vice President,0473,945,390,1335,1787,74.71%,799,432,58,6,1,0,0,0
President and Vice President,0474,1424,624,2048,3127,65.49%,1179,702,99,21,1,0,0,2
President and Vice President,0475,791,261,1052,1936,54.34%,373,618,26,5,2,0,0,0
President and Vice President,0476,1081,405,1486,2458,60.46%,693,702,42,12,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0477,2034,640,2674,4010,66.68%,1659,810,90,23,5,0,0,0
President and Vice President,0478,2280,683,2963,4696,63.10%,1638,1112,104,33,0,0,0,0
President and Vice President,0479,1979,755,2734,3851,70.99%,1784,750,96,16,3,0,0,0
President and Vice President,0480,1450,538,1988,2978,66.76%,1267,600,64,5,2,0,0,0
President and Vice President,0481,1761,667,2428,3609,67.28%,1655,630,68,24,0,0,0,0
President and Vice President,0482,2260,618,2878,4405,65.33%,1778,894,117,20,3,0,0,0
President and Vice President,0483,2328,538,2866,4495,63.76%,1249,1406,108,26,1,1,0,0
President and Vice President,0484,2030,700,2730,3981,68.58%,1545,1001,90,29,1,0,0,2
President and Vice President,0485,2121,567,2688,4051,66.35%,1760,771,95,12,3,0,0,0
President and Vice President,0486,2312,721,3033,4195,72.30%,2114,738,95,12,3,2,0,0
President and Vice President,0487,1410,527,1937,4142,46.76%,452,1366,40,19,1,0,0,0
President and Vice President,0488,843,511,1354,2382,56.84%,345,942,24,13,1,0,0,0
President and Vice President,0489,866,344,1210,1958,61.80%,287,869,20,11,0,0,0,0
