Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0268,1174,689,1863,2528,73.69%,1006,696,1702
"District Judge, 339th Judicial District",0269,1305,365,1670,2114,79.00%,1206,367,1573
"District Judge, 339th Judicial District",0270,1816,688,2504,3985,62.84%,1208,1129,2337
"District Judge, 339th Judicial District",0271,1150,346,1496,2558,58.48%,36,1428,1464
"District Judge, 339th Judicial District",0272,870,415,1285,2334,55.06%,440,770,1210
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0273,1175,647,1822,2485,73.32%,1356,384,1740
"District Judge, 339th Judicial District",0274,1261,311,1572,2223,70.72%,944,527,1471
"District Judge, 339th Judicial District",0275,585,334,919,2059,44.63%,150,731,881
"District Judge, 339th Judicial District",0276,1027,255,1282,2458,52.16%,18,1231,1249
"District Judge, 339th Judicial District",0277,573,338,911,1898,48.00%,301,570,871
"District Judge, 339th Judicial District",0278,1059,469,1528,2602,58.72%,624,814,1438
"District Judge, 339th Judicial District",0279,789,314,1103,2073,53.21%,603,446,1049
"District Judge, 339th Judicial District",0280,444,362,806,1656,48.67%,216,537,753
"District Judge, 339th Judicial District",0281,1287,590,1877,2507,74.87%,831,873,1704
"District Judge, 339th Judicial District",0282,773,604,1377,2144,64.23%,763,538,1301
"District Judge, 339th Judicial District",0283,2351,1143,3494,6365,54.89%,470,2889,3359
"District Judge, 339th Judicial District",0284,1585,574,2159,4079,52.93%,695,1347,2042
"District Judge, 339th Judicial District",0285,1077,431,1508,2680,56.27%,116,1337,1453
"District Judge, 339th Judicial District",0286,1708,545,2253,3757,59.97%,173,1997,2170
"District Judge, 339th Judicial District",0287,851,408,1259,1658,75.93%,575,601,1176
"District Judge, 339th Judicial District",0288,881,314,1195,2208,54.12%,29,1136,1165
"District Judge, 339th Judicial District",0289,481,352,833,1584,52.59%,295,482,777
"District Judge, 339th Judicial District",0290,705,332,1037,1623,63.89%,743,254,997
"District Judge, 339th Judicial District",0291,603,233,836,1218,68.64%,346,443,789
"District Judge, 339th Judicial District",0292,549,178,727,1379,52.72%,82,616,698
"District Judge, 339th Judicial District",0293,778,475,1253,1811,69.19%,517,644,1161
"District Judge, 339th Judicial District",0294,852,198,1050,2054,51.12%,14,1015,1029
"District Judge, 339th Judicial District",0295,270,111,381,894,42.62%,13,357,370
"District Judge, 339th Judicial District",0296,701,385,1086,1705,63.70%,537,468,1005
"District Judge, 339th Judicial District",0297,729,341,1070,2055,52.07%,354,656,1010
"District Judge, 339th Judicial District",0298,1095,387,1482,2236,66.28%,717,686,1403
"District Judge, 339th Judicial District",0299,499,236,735,1506,48.80%,221,463,684
"District Judge, 339th Judicial District",0300,3385,728,4113,5480,75.05%,3030,894,3924
"District Judge, 339th Judicial District",0301,737,392,1129,2337,48.31%,377,688,1065
"District Judge, 339th Judicial District",0302,1197,591,1788,3277,54.56%,876,833,1709
"District Judge, 339th Judicial District",0303,1896,692,2588,3375,76.68%,1908,559,2467
"District Judge, 339th Judicial District",0304,1190,474,1664,2326,71.54%,854,678,1532
"District Judge, 339th Judicial District",0305,2154,645,2799,4838,57.85%,881,1797,2678
"District Judge, 339th Judicial District",0306,1096,299,1395,1896,73.58%,926,379,1305
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0307,1456,801,2257,3270,69.02%,1462,656,2118
"District Judge, 339th Judicial District",0308,526,225,751,1457,51,54%,169,527,696
"District Judge, 339th Judicial District",0309,2160,591,2751,3495,78.71%,1998,609,2607
"District Judge, 339th Judicial District",0310,709,326,1035,1464,70.70%,604,359,963
"District Judge, 339th Judicial District",0311,930,643,1573,3222,48.82%,689,763,1452
"District Judge, 339th Judicial District",0312,1705,552,2257,3724,60.61%,1124,1002,2126
"District Judge, 339th Judicial District",0313,23,8,31,61,50.82%,15,7,22
"District Judge, 339th Judicial District",0314,2997,817,3814,5606,68.03%,2125,1545,3670
"District Judge, 339th Judicial District",0315,801,353,1154,1636,70.54%,616,455,1071
"District Judge, 339th Judicial District",0316,739,340,1079,1513,71.32%,560,439,999
"District Judge, 339th Judicial District",0317,593,252,845,1661,50.87%,208,588,796
